chisq,chisq_zeropm_match,chisq_zeropm_primary,dec_match_gaia,dec_match_keptime,dec_primary_gaia,dec_primary_kep,epic_primary,gaia_id_match,gaia_id_primary,gaiamag_match,ra_match_gaia,ra_match_keptime,ra_primary_gaia,ra_primary_kep,sep_keptime,sep_gaia
5.182684898376465,2098.21044921875,229615.4375,1.2297984342954764,1.229912088491135,1.2306237129495627,1.230738,201546283.0,3.798552811267494e+18,3.7985528155606897e+18,18.360186,171.51522070832695,171.51520993139792,171.51518738428857,171.515167,2.9772937545386946,2.973423125239647
2.1028199195861816,7124.06103515625,131895.515625,2.6186695068744084,2.6186920032648553,2.619036348979746,2.61907,201637175.0,3.811002787586327e+18,3.8110027918802975e+18,17.900602,169.4823177501327,169.48243236253472,169.48270458465834,169.482819,1.9455259439383321,1.918167263083046
0.7977267503738403,697.947265625,70615.890625,3.3633834000816316,3.3633478301164423,3.3638919249837134,3.363874,201683540.0,3.8119005431236076e+18,3.8119005431242604e+18,18.83446,169.2146435263404,169.2147269025032,169.2148600200733,169.214966,2.0799950227509876,1.9891613059082234
7.236122131347656,498.4402770996094,620.1903686523438,18.626927016457884,18.626935222118036,18.6267628278228,18.62674,202066537.0,3.3646275623643884e+18,3.364627558065967e+18,15.440757,104.26665701759403,104.26665942779165,104.26603893403843,104.266029,2.262578547248218,2.18982807714298
7.99483585357666,30.607614517211914,442.5540771484375,18.625649307674284,18.62565807247929,18.62701605023407,18.62702,202071635.0,3.3734698005116257e+18,3.373469800514671e+18,18.121872,93.57178303270474,93.57178433607803,93.57179182435318,93.571808,4.903603631982327,4.92036462495169
3.9235243797302246,12.372454643249512,2197.696044921875,-29.199515665821263,-29.19948631991145,-29.201750450798613,-29.201727,202565282.0,6.043940689756411e+18,6.043940685454769e+18,20.611685,247.42432794063234,247.424356985602,247.42607254957483,247.426056,9.673373584990282,9.735642745141812
6.596207618713379,65.0263442993164,8139.2333984375,-28.23955584498633,-28.23951846110005,-28.239075223713296,-28.239061,202821899.0,6.044406710882237e+18,6.044406710890711e+18,20.098091,249.16250150365394,249.1625189696868,249.16000070723769,249.160019,8.097943914607237,8.117870476620347
8.469507217407227,37.03069305419922,8139.2333984375,-28.238182152392604,-28.238146585499795,-28.239075223713296,-28.239061,202821899.0,6.044406710884074e+18,6.044406710890711e+18,20.363398,249.16263096088582,249.1626597030686,249.16000070723769,249.160019,8.998834437541763,8.940078682176441
2.6291451454162598,63.579566955566406,75.2763671875,-25.052475584896545,-25.0524581688231,-25.05351048326118,-25.053404,203753577.0,6.034783888207294e+18,6.034783888222094e+18,20.114988,252.86369689588756,252.86374310422775,252.86179812526103,252.861847,7.059245311491021,7.22681851393375
1.29598069190979,57.91454315185547,1486.2025146484375,23.340887839737025,23.34090571681148,23.340748790572917,23.340759,209036259.0,3.377325238035201e+18,3.377325238038354e+18,19.265858,96.90889376079193,96.90890054834757,96.91007722200688,96.910088,3.9603711948408353,3.9437011686822254
0.64800626039505,1347.254150390625,24531.525390625,-17.50466010788866,-17.504643400855,-17.50349605721593,-17.50355,212300977.0,3.6035292770453325e+18,3.6035292727508024e+18,17.621641,203.75854579325312,203.75849117209458,203.75819514057446,203.758102,4.156837209866885,4.360085959895368
7.26092529296875,1820727.0,3639068.25,-11.192212336087904,-11.192238640323666,-11.192549635088124,-11.192574,212572439.0,3.6166904655903437e+18,3.616690087633221e+18,14.683071,204.44143835567397,204.44178563008623,204.43973785775293,204.440079,6.146747071551474,6.126894796248636
0.5508025884628296,130060.734375,1226296.0,-9.94870902672435,-9.948704459204516,-9.94918992451393,-9.949168,212628098.0,3.6240101893742413e+18,3.624010185078482e+18,15.864241,200.2905592723401,200.29076192929867,200.29037304598097,200.290558,1.8186801913321435,1.8528908183459127
3.5757930278778076,5183.58935546875,306391.4375,-9.538958425365134,-9.538818505078623,-9.540238429682075,-9.540112,212645891.0,3.615511509952592e+18,3.6155115142473907e+18,18.392563,210.27483339176322,210.27487427081786,210.27297796074853,210.273026,8.046148506516742,8.038953634422974
7.542576313018799,103.00956726074219,122466.71875,-16.79504574012487,-16.79495621389918,-16.793598605155314,-16.793495,219420915.0,4.087971969954758e+18,4.087971969962404e+18,19.983881,287.51197666389317,287.5120059944434,287.5108559784333,287.510864,6.569799877023265,6.485282125542128
4.667686462402344,10906.783203125,42828.078125,5.645231187953174,5.645372054572561,5.645209431075752,5.645308,220448185.0,2.5649541255786015e+18,2.564954125574046e+18,18.433378,23.302260711040557,23.302451985663538,23.304228175280663,23.304403,6.993388792083403,7.048955026302292
