kepid,kepler_name,koi_kepmag,koi_gmag,ra,dec,koi_period,koi_prad,koi_disposition
5389540,0.0,13.259,13.846,298.46799,40.516678,10.26231992,1.98,FALSE POSITIVE
10264660,Kepler-14 b,12.128,12.363,287.70883,47.33305,6.790120801,9.86,CONFIRMED
3742855,0.0,13.133,13.14,290.26614,38.837917,6.397185875,15.02,FALSE POSITIVE
10287248,0.0,13.987,14.839,296.69562,47.327309,4.722254104,14.45,FALSE POSITIVE
2438061,0.0,0.0,0.0,290.27701,37.79097,2.442941283,48.18,FALSE POSITIVE
5952366,0.0,13.38,0.0,289.27658,41.259754,0.905679492,35.74,FALSE POSITIVE
2970804,0.0,9.16,0.0,286.10696,38.107628,0.686994057,35.3,FALSE POSITIVE
9644411,0.0,14.785,15.527,289.87915,46.322498,0.379412331,1.59,FALSE POSITIVE
7284688,0.0,11.234,12.702,292.63,42.829338,0.323021692,46.4,FALSE POSITIVE
8948424,0.000,12.97,0.0,290.20993,45.251904,5.888835386,584.67,FALSE POSITIVE
6185476,0.000,14.267,15.526,284.35202,41.519199,17.65737838,2.45,CANDIDATE
7115661,0.000,10.624,11.229,291.12354,42.663353,0.566800926,2.19,FALSE POSITIVE
8227661,0.000,12.946,13.556,289.84772,44.185783,1.85373924,0.23,FALSE POSITIVE
5164794,0.000,11.51,0.0,283.48358,40.324066,1.0429419,2.49,FALSE POSITIVE
10002261,,13.102,14.028,287.55972,46.957085,12.713794177,2.31,FALSE POSITIVE
